run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct
11-semantic-form-matched-skill-pre	pre	matched-skill	semantic-form	11	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	36356	0	65773	55296	10477	1085	160	4	4	1	3	6971	13125	true	false	false	true	false	false	false	false	false	false	true	true
12-semantic-form-matched-skill-post	post	matched-skill	semantic-form	12	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	27180	0	45970	38144	7826	911	54	3	3	1	2	1738	9784	true	true	false	false	false	false	false	false	false	false	true	true
13-structural-find-matched-skill-pre	pre	matched-skill	structural-find	13	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	26597	0	60770	48128	12642	758	141	3	3	2	1	538	7095	true	false	false	false	true	false	false	false	false	false	true	true
14-structural-find-matched-skill-post	post	matched-skill	structural-find	14	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	22559	0	45600	38144	7456	631	221	2	2	1	1	538	8584	true	false	true	false	false	false	false	false	false	false	false	true
15-case-edit-matched-skill-pre	pre	matched-skill	case-edit	15	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	57517	0	188529	164864	23665	2210	900	11	12	6	9	33954	40202	true	false	false	true	false	false	true	true	true	true	true	true
16-case-edit-matched-skill-post	post	matched-skill	case-edit	16	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	43592	0	136604	116736	19868	1523	370	9	10	4	7	9473	17613	true	true	false	false	false	false	true	true	true	true	true	true
17-named-form-explicit-no-skill-pre	pre	explicit-no-skill	named-form	17	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	43923	0	87526	79360	8166	1287	339	5	5	4	3	1576	4287	false	false	false	true	true	false	false	false	false	false	true	true
18-named-form-explicit-no-skill-post	post	explicit-no-skill	named-form	18	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	22587	0	42630	37120	5510	730	83	2	2	2	1	1695	4316	false	true	false	false	true	false	false	false	false	false	true	true
19-semantic-form-explicit-no-skill-pre	pre	explicit-no-skill	semantic-form	19	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	63825	0	107550	90368	17182	2617	991	6	23	6	4	3503	3733	false	false	false	true	true	true	false	false	false	false	true	true
20-semantic-form-explicit-no-skill-post	post	explicit-no-skill	semantic-form	20	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	24974	0	42869	37120	5749	884	110	2	3	2	2	4501	4501	false	true	false	false	true	false	false	false	false	false	true	true
21-structural-find-explicit-no-skill-pre	pre	explicit-no-skill	structural-find	21	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	24241	0	57146	51200	5946	729	252	3	3	3	1	538	3422	false	false	false	false	true	false	false	false	false	false	false	true
22-structural-find-explicit-no-skill-post	post	explicit-no-skill	structural-find	22	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	20923	0	57584	47104	10480	651	179	3	4	3	1	538	3995	false	false	false	false	true	false	false	false	false	false	true	true
23-case-edit-explicit-no-skill-pre	pre	explicit-no-skill	case-edit	23	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	39550	0	118642	97536	21106	1433	622	6	7	4	4	25433	28528	false	false	false	true	true	false	true	false	false	false	false	false
24-case-edit-explicit-no-skill-post	post	explicit-no-skill	case-edit	24	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	60158	0	161355	140800	20555	2061	740	11	11	10	6	10091	15436	false	true	false	false	true	false	true	true	true	true	true	true
25-named-form-compact-skill-post	post	compact-skill	named-form	25	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	52149	0	87836	79360	8476	1947	822	5	5	4	4	1609	2624	true	true	false	false	false	false	false	false	false	false	true	true
26-semantic-form-compact-skill-post	post	compact-skill	semantic-form	26	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	53401	0	119864	105472	14392	2081	856	7	7	3	3	2076	5888	true	true	false	false	true	false	false	false	false	false	true	true
27-structural-find-compact-skill-post	post	compact-skill	structural-find	27	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	30614	0	72734	60160	12574	809	191	4	4	3	1	538	5010	true	false	true	false	true	false	false	false	false	false	false	true
28-case-edit-compact-skill-post	post	compact-skill	case-edit	28	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	69067	0	196010	174080	21930	2340	820	13	14	8	7	9792	15316	true	true	false	false	true	false	true	true	true	true	true	true
29-named-form-compact-v2-skill-post	post	compact-v2-skill	named-form	29	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	33094	0	42473	36096	6377	745	41	2	2	1	1	1695	2807	true	true	false	false	false	false	false	false	false	false	true	true
30-semantic-form-compact-v2-skill-post	post	compact-v2-skill	semantic-form	30	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	34759	0	56731	50176	6555	873	44	3	3	1	2	1738	2850	true	true	false	false	false	false	false	false	false	false	true	true
31-structural-find-compact-v2-skill-post	post	compact-v2-skill	structural-find	31	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	26376	0	42246	36096	6150	571	132	2	2	1	1	538	1650	true	false	true	false	false	false	false	false	false	false	true	true
32-case-edit-compact-v2-skill-post	post	compact-v2-skill	case-edit	32	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	44152	0	124374	108544	15830	1658	555	8	9	5	6	9729	10935	true	true	false	false	false	false	true	true	true	true	true	true
