id	date	ordinal	task_family	task	model	route	candidate_commit	surgeon_seconds	native_seconds	speedup	surgeon_n	native_n	correctness	byte_exact	evidence_source	evidence_commit	caveat
nested-installed-skill-20260824	2026-08-24	13	small-edit	one supplied exact nested edit	gpt-5.6-sol/high	installed skill plus edit_clojure	unrecorded	52.275	76.342	1.460	10	2	Surgeon 10/10; native 2/3 correct	correctness-gated exact	docs/observations/2026-08-24-captains-log-the-guarded-keystroke-beat-native.md	2cc6524	Asymmetric production-route cohort; native median uses two exact runs.
batch-compact-three-pair-20260824	2026-08-24	14	batch-edit	six exact edits in two files	gpt-5.6-sol/high	compact MCP no-skill	04a7042	24.547	28.812	1.174	3	3	both 3/3 correct	both exact	docs/observations/2026-08-24-compact-editor-versus-native-pilots.md	4aac2d1	Three-pair pilot; both routes viable.
delete-17-replicated-20260824	2026-08-24	15	owner-cleanup	delete 17 exact owners	gpt-5.6-sol/high	compact delete_owners	bfcca4d	23.127	38.462	1.663	3	3	both 3/3 correct	both exact	docs/observations/2026-08-24-compact-editor-versus-native-pilots.md	4aac2d1	Synthetic historical calibration; one compact outlier at 60.758 seconds.
small-real-feature-20260824	2026-08-24	16	real-feature	make semantic provider optional	gpt-5.6-sol/high	forced structural MCP	6948f0eb-parent	306.631	148.252	0.483	1	1	both semantic-correct	not byte-identical to historical child	docs/observations/2026-08-24-captains-log-the-guarded-keystroke-beat-native.md	2cc6524	Native-positive real commit; structural route paid five or six inspections.
dev-cleanup-canary-20260825	2026-08-25	17	owner-cleanup	production-derived small extraction cleanup	gpt-5.6-sol/high	compact edit_clojure	unrecorded	26.261	33.475	1.275	1	1	both correct	both exact	docs/observations/2026-08-24-compact-editor-versus-native-pilots.md	4aac2d1	One canary from a real commit.
public-cfp-local-20260825	2026-08-25	18	owner-cleanup	30-edit public-CFP cleanup	gpt-5.6-sol/high	compact edit_clojure	unrecorded	36.995	117.103	3.165	3	3	both 3/3 correct	both exact	docs/observations/2026-08-24-compact-editor-versus-native-pilots.md	4aac2d1	Production-derived anonymized replay; local three-pair cohort.
public-cfp-anvil-20260825	2026-08-25	19	owner-cleanup	30-edit public-CFP cleanup	gpt-5.6-sol/high	compact edit_clojure	8b4178c	32.546	150.138	4.613	3	3	both 3/3 correct	both exact	docs/observations/2026-08-25-captains-log-the-compiled-cleanup-hit-four-point-six-x.md	5e85987	Three independent Anvil seats; same frozen capsule.
batch-anvil-20260825	2026-08-25	20	batch-edit	six small heterogeneous edits in two files	gpt-5.6-sol/high	compact edit_clojure	34de9b5	29.893	31.378	1.050	3	3	both 3/3 correct	both exact	docs/observations/2026-08-25-captains-log-the-compiled-cleanup-hit-four-point-six-x.md	5e85987	Native-positive control showing batching alone is not a large win.
submission-first-exact-20260825	2026-08-25	21	owner-cleanup	51-edit nine-file submission cleanup	gpt-5.6-sol/high	compact edit_clojure	unrecorded	59.879	269.173	4.495	1	1	both correct	both exact	docs/observations/2026-08-25-captains-log-the-bottleneck-was-decision-fragmentation.md	65780dc	First exact pair only; other compact rows exposed ambiguous Markdown indentation.
public-cfp-boolean-ns-20260825	2026-08-25	22	owner-cleanup	30-edit one-file public-CFP cleanup	gpt-5.6-sol/high	compact boolean namespace route	unrecorded	30.418	176.346	5.797	3	3	both 3/3 meaning-preserving	compact presentation differed only namespace indentation	docs/observations/2026-08-25-captains-log-the-bottleneck-was-decision-fragmentation.md	65780dc	Semantic and preservation gates passed; exact bytes were secondary.
extraction-public-plan-20260826	2026-08-26	23	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	public plan then apply	pre-543798a	49.941	123.583	2.475	2	2	both meaning-preserving after forensic scorer correction	exact bytes secondary	docs/observations/2026-08-26-captains-log-the-best-plan-was-no-plan.md	66b8a60	Planner added a model decision phase; native correctness was corrected later.
extraction-direct-20260826	2026-08-26	24	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	direct one-shot extraction	543798a	37.871	122.278	3.229	2	2	both 2/2 meaning-preserving	destination exact; source presentation secondary	docs/observations/2026-08-26-captains-log-the-best-plan-was-no-plan.md	66b8a60	Counterbalanced Anvil gate; one apply plus exact lint.
extraction-fused-normal-20260827	2026-08-27	25	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	fused exact verification; ordinary response	0697d59	27.471	122.278	4.451	2	2	Surgeon 2/2 correct; retained native 2/2	meaning-preserving	docs/observations/2026-08-27-captains-log-terminal-proof-ended-the-second-plan.md	36c3295	N=2 mean across independent owners; shared native baseline retained.
extraction-terminal-20260827	2026-08-27	26	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	fused verification plus terminal response	299a279	21.815	122.278	5.605	2	2	Surgeon 2/2 correct; retained native 2/2	meaning-preserving	docs/observations/2026-08-27-captains-log-terminal-proof-ended-the-second-plan.md	36c3295	N=2 mean; 89 percent of gain localized to deleted receipt narration.
extraction-product-20260827	2026-08-27	27	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	promoted executable terminal chord	9ace623	19.216	122.278	6.363	2	2	both promoted arms and retained native correct	meaning-preserving	docs/observations/2026-08-27-captains-log-terminal-proof-ended-the-second-plan.md	36c3295	Counterbalanced product cohort; compound-task safety also passed.
cross-sol-20260827	2026-08-27	28	cross-caller-extraction	15-owner Sessionize extraction	gpt-5.6-sol/high	one apply plus terminal relay	573e240	21.446	207.898	9.694	1	1	both semantic-correct	exact bytes secondary	docs/observations/2026-08-27-captains-log-sol-kept-its-chord-claude-found-it.md	42d0222	Serial Anvil pilot; one matched pair and model-specific native baseline.
cross-terra-20260827	2026-08-27	29	cross-caller-extraction	15-owner Sessionize extraction	gpt-5.6-terra/high	one apply plus terminal relay	573e240	23.621	178.477	7.556	1	1	both semantic-correct	exact bytes secondary	docs/observations/2026-08-27-captains-log-sol-kept-its-chord-claude-found-it.md	42d0222	Native retry used the available exact verifier path; one matched pair.
cross-fable-20260827	2026-08-27	30	cross-caller-extraction	15-owner Sessionize extraction	Claude Fable/high	ToolSearch then one apply	573e240	14.325	128.512	8.971	1	1	both semantic-correct	exact bytes secondary	docs/observations/2026-08-27-captains-log-sol-kept-its-chord-claude-found-it.md	42d0222	Claude discovery action remains included; one matched pair.
cross-opus-20260827	2026-08-27	31	cross-caller-extraction	15-owner Sessionize extraction	Claude Opus/high	ToolSearch then one apply	573e240	12.924	82.377	6.374	1	1	both semantic-correct	exact bytes secondary	docs/observations/2026-08-27-captains-log-sol-kept-its-chord-claude-found-it.md	42d0222	Claude discovery action remains included; one matched pair.
catalog-control-u-20260828	2026-08-28	32	extraction-mission	15-owner Sessionize extraction	gpt-5.6-sol/high	canonical apply_clojure_changes catalog	2f47ddc	28.609	122.278	4.274	2	2	Surgeon 2/2 one-shot; retained native 2/2	meaning-preserving	docs/observations/2026-08-28-captains-log-tool-names-enter-the-real-arena.md	4184195	Naming experiment; slower than promoted product and not a release regression measurement.
tolerant-small-control-20260828	2026-08-28	33	small-edit	two-file three-change tolerant-compiler fixture	gpt-5.6-sol/high	one apply_clojure_changes	unrecorded	36.599	17.654	0.482	2	2	both 2/2 correct	both exact	docs/observations/2026-08-28-captains-log-tool-names-enter-the-real-arena.md	4184195	Native-positive routing control; Surgeon removed retries but should not own this task shape.
submission-corrected-20260828	2026-08-28	34	owner-cleanup	51-edit nine-file submission cleanup	gpt-5.6-sol/high	one compact edit_clojure	unrecorded	58.559	289.507	4.944	2	2	both arms meaning-preserving	compact 2/2 exact; native 1/2 exact	docs/observations/2026-08-28-captains-log-tool-names-enter-the-real-arena.md	4184195	Counterbalanced pilot; both native arms retained one failed mutation path.
